"Term","Importance"
"herebi",11.4851803128291
"reserv",11.2334289272415
"district",10.8626216270888
"said",10.7182720010661
"pay",9.87138080043969
"first",8.13528419236539
"otherwis",7.57452776032699
"northwest",7.31409665449087
"describ",7.10125122548199
"tract",7.04358878015969
"year",6.89744787023125
"river",6.82419608687704
"part",6.40270076247824
"agre",6.33683381038077
"given",6.14563822817137
"affix",6.11862005650178
"know",6.0032879000539
"witnesseth",5.69827252213015
"inhabit",5.60322531576531
"yield",5.49867269474386
"payment",5.35580029916119
"oblig",5.31331634244107
"repres",5.25648385654928
"undersign",5.17405869006985
"pursuant",5.16782988804755
"paid",4.95769959631349
"commission",4.76135003535906
"herein",4.73195707268025
"allow",4.64242671859265
"consider",4.59519128863331
"five",4.477778599111
"duli",4.438836791498
"limit",4.42964879613016
"attach",4.20081272254726
"set",4.02208660932546
"confirm",3.98679522094912
"protect",3.96450930647166
"articl",3.81208481355365
"children",3.77081745846407
"includ",3.73165888695078
"properti",3.68681353624551
"dollar",3.68181098180877
"mention",3.61224506656384
"twentyf",3.52491298817129
"queen",3.52191430120714
"western",3.50625113395918
"hereaft",3.49365434504278
"solemn",3.4327840060616
"parti",3.41269625724657
"whereof",3.34703753605767
"becom",3.34427271489371
"land",3.28379604264315
"white",3.27750493439152
"respons",3.26107799128471
"titl",3.24242112721257
"full",3.22572316267643
"will",3.20180306758121
"wit",3.18706350386103
"commenc",3.16617142015007
"hundr",3.11564984487415
"grant",3.0709931488485
"conven",3.06937507134454
"howev",3.06804763842529
"band",3.0654562468752
"assum",3.04276685076783
"dispos",3.03919081722453
"west",2.99740331739163
"releas",2.96909510301348
"nine",2.95590102325593
"negoti",2.91590802127182
"surrend",2.86108932505926
"stipul",2.84683506722444
"notifi",2.83443615683785
"south",2.81720422735731
"come",2.77873741527939
"chosen",2.77268006601864
"within",2.72868141426212
"quebec",2.66269779557911
"written",2.63530832588027
"bring",2.6143977768113
"seven",2.58817772495402
"final",2.58535409899696
"council",2.58062022404272
"thereupon",2.5697853502424
"resid",2.56505013858499
"boundari",2.55012730213059
"truli",2.54941204032417
"favour",2.51754874517948
"wester",2.49815214094132
"proceed",2.4762909405799
"treati",2.47382728345698
"say",2.46954770917014
"make",2.45584516442362
"distanc",2.45382886716017
"settl",2.42340374680661
"interfer",2.40707955808662
"agreement",2.3824840555793
"mark",2.37939474412767
"unit",2.37430078191176
"aforesaid",2.36744830464893
"form",2.36158581026498
"person",2.31198292067195
"east",2.3006717382103
"superintend",2.29288891610554
"date",2.28767833070403
"proport",2.25518533136428
"side",2.23693044847888
"live",2.23345553409997
"souther",2.22517816738957
