"Term","Frequency","Correlation"
"affix",6,0.703057420767059
"great",37,0.696807499283633
"father",14,0.691247635431344
"children",18,0.681865056375232
"civil",7,0.657841108981009
"encroach",3,0.650492675510902
"protect",11,0.649338828796198
"assembl",12,0.644746679419947
"properti",27,0.637949947512052
"control",7,0.623042014752172
"now",36,0.608792036639236
"becom",20,0.60485657906885
"white",20,0.598575799779297
"cultiv",15,0.578660605130857
"arrang",14,0.576704657937767
"either",7,0.576378654137483
"proper",16,0.569031296677506
"propos",9,0.568739187539714
"allow",21,0.566696940216079
"heard",9,0.551739705700525
"built",7,0.532596535708285
"manatoulin",1,0.529726922444973
"repair",1,0.529726922444973
"sauk",1,0.529726922444973
"saukin",1,0.529726922444973
"island",21,0.520195191753891
"ottawa",16,0.514849373552479
"manitowan",2,0.506690089593508
"enabl",6,0.498482292359729
"given",25,0.492506448429971
"acced",5,0.488186395534905
"hous",11,0.481619120950558
"august",21,0.465925885884329
"assist",15,0.463645186800069
"just",13,0.452640934258416
"ever",32,0.450698169682513
"eager",2,0.427658604242199
"crook",1,0.423458571087232
"facil",1,0.423458571087232
"hitherto",1,0.423458571087232
"impoverish",1,0.423458571087232
"innumer",1,0.423458571087232
"mantiwan",1,0.423458571087232
"seek",1,0.423458571087232
"snow",1,0.423458571087232
"tell",1,0.423458571087232
"tie",1,0.423458571087232
"unavoid",1,0.423458571087232
"uncultiv",1,0.423458571087232
"wild",1,0.423458571087232
"withdraw",1,0.423458571087232
"surround",2,0.42102458933055
"progress",2,0.419669350881799
"sinc",4,0.417321124584689
"resid",12,0.415956014499985
"circumst",5,0.41536336738765
"mark",23,0.412224135833253
"occur",3,0.411629991584852
"owen",3,0.410143031675309
"popul",2,0.409375367552604
"lie",21,0.408481922551572
"game",4,0.407501704093659
"dog",3,0.406359555755516
"engag",14,0.403292115157672
"total",4,0.401153195473571
"wampum",3,0.399607950309272
"farmer",2,0.399526639617383
"various",5,0.397243841746286
"alik",3,0.395845660841349
"consid",12,0.392697502174256
"difficulti",6,0.388184494398732
"rear",3,0.38495227593426
"separ",7,0.382890644854094
"word",5,0.379749963430471
"occupi",15,0.376583831439931
"hunt",18,0.372192842863399
"form",16,0.370843084710652
"mani",7,0.368871201167795
"liberti",6,0.368613801227366
"friendship",5,0.365287466986518
"away",6,0.365234530293615
"english",10,0.363962741720309
"natur",9,0.359867073413496
"appli",6,0.356070673910866
"might",13,0.354154219857328
"anim",3,0.354113103171938
"council",23,0.35185754205771
"red",11,0.350341964881153
"seventi",5,0.34100102189207
"make",35,0.337717733437921
"like",15,0.332632535785494
"made",34,0.331666492765407
"season",8,0.330540357164471
"effect",7,0.329961751380246
"done",10,0.326036826303142
"best",8,0.320671915306107
"forest",5,0.318230070070815
"secur",15,0.317067212649935
"huron",15,0.311231015642273
"will",30,0.307556939507892
"appear",10,0.305968242375891
"whole",15,0.3040956417877
"chippewa",17,0.301901361049857
"free",20,0.301085770047919
"come",15,0.289187343003563
"sound",5,0.289080195496477
"prison",3,0.285261827058252
"happen",5,0.281936575532342
"command",8,0.281539927804282
"governor",18,0.279576067947428
"new",10,0.278140710027992
"contrari",2,0.277834226626805
"thought",10,0.277173984956575
"america",3,0.274811681586771
"exchang",2,0.274279848609012
"wish",6,0.274097701654693
"commerc",3,0.269020118869008
"hostag",2,0.268979374157957
"ground",15,0.268001678102809
"increas",7,0.26746677197754
"nova",4,0.266365622103569
"scotia",4,0.266365622103569
"endeavour",3,0.265674869667115
"upon",27,0.265644270510983
"shall",35,0.263736100912182
"acadia",1,0.263166379722208
"accadia",1,0.263166379722208
"barter",1,0.263166379722208
"comr",1,0.263166379722208
"contriv",1,0.263166379722208
"entic",1,0.263166379722208
"forgo",1,0.263166379722208
"govr",1,0.263166379722208
"ill",1,0.263166379722208
"indirect",1,0.263166379722208
"insult",1,0.263166379722208
"lahav",1,0.263166379722208
"lunenbourg",1,0.263166379722208
"lunenburg",1,0.263166379722208
"putt",1,0.263166379722208
"sacr",1,0.263166379722208
"sett",1,0.263166379722208
"traffick",1,0.263166379722208
"truck",1,0.263166379722208
"laurent",1,0.263166379722208
"paul",1,0.263166379722208
"utmost",4,0.263057997005767
"intercours",3,0.26220529008272
"troop",2,0.260603802591144
"henceforth",4,0.26026548180597
"know",25,0.258358504862275
"canadian",6,0.25805416639246
"neither",2,0.255031460207564
"certifi",9,0.252459901322152
"custom",1,0.250085349879014
"genl",1,0.250085349879014
"longueil",1,0.250085349879014
"lorett",1,0.250085349879014
"britannick",2,0.248575181329143
"religion",2,0.248435594018355
"met",6,0.247853909193966
"molest",18,0.247722920542355
"interrupt",2,0.245713417205655
"lawrenc",2,0.243088815602519
"ampl",3,0.242776823304264
"restitut",3,0.242776823304264
"commod",2,0.240466971167158
"prevail",4,0.240463805984803
"commit",4,0.240291568872842
"kind",5,0.23772569157848
"injur",2,0.237124703486845
"jurisdict",2,0.237124703486845
"outrag",2,0.237124703486845
"quarrel",2,0.237124703486845
"redress",2,0.237124703486845
"reveng",2,0.237124703486845
"robberi",2,0.237124703486845
"traffic",2,0.237124703486845
"discov",3,0.236935424070212
"exercis",3,0.236846686845721
"settlement",23,0.233883884728499
"manner",16,0.233640191913213
"privat",5,0.2303491234492
"return",6,0.229273733385511
"testimoni",4,0.229125773403282
"harbour",3,0.227194105601515
"backward",1,0.225440030031589
"dougla",1,0.225440030031589
"esquimalt",1,0.225440030031589
"fuca",1,0.225440030031589
"juan",1,0.225440030031589
"saanich",1,0.225440030031589
"sterl",1,0.225440030031589
"teechamitsa",1,0.225440030031589
"unoccupi",1,0.225440030031589
"vancouv",1,0.225440030031589
"desert",2,0.225209262072323
"period",10,0.224875805594335
"arm",4,0.224726495414765
"receiv",21,0.224498297604396
"token",3,0.22376728826535
"among",13,0.223674943882757
"entir",3,0.223491481980946
"twentyninth",2,0.220349780437242
"trade",10,0.220026933326785
"togeth",22,0.219951757718526
"hand",34,0.219505424826695
"chas",2,0.219368112198159
"depend",5,0.218972616506202
"regiment",3,0.218754841185897
"georg",26,0.218391476866839
"field",4,0.218029117113865
"peac",16,0.217716923519281
"reign",13,0.21696097463706
"kept",7,0.216335829560899
"submiss",4,0.216234291032908
"enclos",3,0.216011823948061
"present",39,0.21571174903434
"treat",7,0.215024042300876
"halifax",2,0.212799882521919
"march",5,0.210939197152151
"albert",4,0.210134076699754
"misunderstand",5,0.207979746553843
"strait",7,0.207709200446825
"deed",7,0.203968150540744
"establish",8,0.203619675221459
"way",10,0.202954189083994
"offic",22,0.202098945694863
"effectu",2,0.201325331953785
"manag",4,0.200666263083222
"peopl",26,0.198640897459927
"garrison",4,0.198625187368171
"former",11,0.197816160797845
"tribe",28,0.196070286863339
"design",8,0.194359960532622
"keep",6,0.193386408333215
"villag",9,0.19178956509184
"submit",9,0.191678888777662
"fisheri",5,0.191115850705724
"soldier",3,0.187332558245188
"territori",18,0.185260017400527
"quebec",11,0.183279614900315
"whereof",35,0.180500639214339
"well",22,0.177116543893097
"enemi",4,0.174993052219725
"april",11,0.173466466717141
"understand",4,0.172672415938168
"recommend",9,0.172233764971116
"site",6,0.171344263392605
"perfect",6,0.170499961107204
"satisfact",13,0.169437894066997
"niagara",6,0.168918290359687
"name",31,0.168419019201717
"place",33,0.167690818409878
"hereaft",28,0.167603886400999
"latter",6,0.167546063394524
"rest",9,0.166488036723521
"pretend",6,0.166292064425527
"renounc",6,0.166292064425527
"greet",8,0.164382943785599
"britann",7,0.164234801883774
"rehears",5,0.163129113640472
"distant",9,0.159868741047643
"rang",4,0.158889118460951
"belong",26,0.158771555511912
"twentyseven",6,0.158208063946682
"pass",15,0.157674987594354
"esq",9,0.156880650648801
"clear",12,0.156391203651501
"emolu",7,0.152545462176445
"warrior",10,0.152376031640465
"accord",19,0.152366325829733
"understood",10,0.151088127225191
"valu",15,0.149931006948805
"descend",9,0.149711178303601
"dispos",21,0.149149059451624
"sabl",4,0.149028462162628
"victoria",4,0.147922808225795
"tenor",2,0.147056221656712
"back",6,0.145574776352607
"languag",9,0.145401405978342
